Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,74.8131707317073,77.4658536585366,81.4804878048781,81.4292682926829,81.6317073170732,81.7341463414634,81.9829268292683,81.9317073170732,81.8853658536585,81.1878048780488,81.6853658536585,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,76.6,79.0560975609756,82.3219512195122,82.5731707317073,82.5756097560976,82.6756097560976,82.8268292682927,82.1756097560976,82.3243902439024,82.1292682926829,82.9292682926829,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,73.908,79,82.339,82.555,82.774,82.985,83.195,82.459,79.571,83.859,84.07,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,60.736,61.81,66.336,66.583,66.816,67.043,67.337,67.073,67.072,67.713,68.337,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,51.278,56.899,62.971,63.386,63.708,64.034,64.427,64.418,63.847,64.859,65.86,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,68.679,70.091,73.241,73.136,73.435,73.985,74.165,73.509,71.635,74.141,74.496,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,75.0856341463415,77.9268292682927,80.6414634146341,80.990243902439,80.9926829268293,80.8926829268293,81.2926829268293,81.0414634146342,80.790243902439,80.6080487804878,80.5414634146342,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,55.395,58.139,63.175,63.522,63.829,64.138,64.455,64.309,64.286,65.246,65.498,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,76.814,80.145,82.668,82.741,82.858,83.028,83.183,83.07,80.274,83.517,83.553,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,76.9390243902439,77.8878048780488,81.0365853658537,81.3878048780488,81.2878048780488,81.7878048780488,81.6390243902439,81.2878048780488,80.0829268292683,80.7878048780488,81.5365853658537,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,65.0682926829268,66.0990243902439,71.4790243902439,71.8385365853659,71.9321951219512,71.9675609756098,71.9443902439024,71.8507317073171,71.8139024390244,71.5404878048781,71.549756097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,70.546,72.955,75.037,75.01,74.977,74.957,74.971,75.019,74.522,75.151,75.205,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,73.455,74.894,76.444,76.449,76.463,76.561,76.645,75.529,75.434,77.102,77.209,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,61.767,67.102,70.915,71.215,71.583,71.496,71.639,69.971,67.858,71.206,72.602,..
